ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
17.0,Assam,Silchar,Locality_265,Property_Type,5.0,1250.0,75.23,0.06,1993.0,Semi-furnished,15.0,10.0,32.0,1.0,8.0,Medium,No,No,"Pool, Playground, Garden, Gym",South,Builder,Under_Construction
18.0,Uttarakhand,Dehradun,Locality_50,Property_Type,1.0,3518.0,234.99,0.07,2004.0,Unfurnished,14.0,8.0,21.0,8.0,1.0,High,No,Yes,"Pool, Clubhouse, Gym",West,Builder,Ready_to_Move
19.0,Maharashtra,Pune,Locality_385,Property_Type,3.0,2126.0,24.5,0.01,2013.0,Semi-furnished,10.0,5.0,12.0,8.0,1.0,Low,No,Yes,"Garden, Clubhouse, Pool, Gym, Playground",West,Owner,Under_Construction
20.0,Chhattisgarh,Bilaspur,Locality_241,Property_Type,2.0,2524.0,407.96,0.16,2016.0,Semi-furnished,13.0,18.0,9.0,8.0,6.0,High,Yes,No,"Pool, Playground, Clubhouse",North,Broker,Under_Construction
21.0,Uttar Pradesh,Noida,Locality_286,Property_Type,3.0,1270.0,475.78,0.37,2018.0,Semi-furnished,21.0,21.0,7.0,3.0,4.0,Medium,No,Yes,"Clubhouse, Gym, Garden, Pool, Playground",North,Owner,Under_Construction
22.0,Chhattisgarh,Bilaspur,Locality_74,Property_Type,5.0,4626.0,343.4,0.07,1990.0,Furnished,17.0,7.0,35.0,6.0,8.0,Low,Yes,Yes,"Pool, Clubhouse, Gym, Playground, Garden",East,Owner,Ready_to_Move
23.0,Telangana,Warangal,Locality_459,Property_Type,1.0,2059.0,488.42,0.24,1995.0,Furnished,0.0,26.0,30.0,7.0,6.0,Low,No,No,"Garden, Pool, Gym, Playground, Clubhouse",West,Broker,Under_Construction
24.0,Rajasthan,Jaipur,Locality_355,Property_Type,4.0,3176.0,164.31,0.05,1990.0,Unfurnished,11.0,22.0,35.0,9.0,4.0,Low,Yes,No,"Pool, Gym, Clubhouse",East,Builder,Under_Construction
25.0,Bihar,Gaya,Locality_151,Property_Type,2.0,1925.0,322.81,0.17,2019.0,Unfurnished,25.0,1.0,6.0,9.0,6.0,High,Yes,Yes,"Garden, Clubhouse, Playground",North,Owner,Under_Construction
26.0,Jharkhand,Jamshedpur,Locality_159,Property_Type,3.0,2032.0,50.67,0.02,1990.0,Unfurnished,4.0,21.0,35.0,3.0,4.0,Low,No,Yes,"Clubhouse, Garden",East,Owner,Ready_to_Move
27.0,Punjab,Ludhiana,Locality_382,Property_Type,4.0,4151.0,143.9,0.03,1995.0,Unfurnished,9.0,5.0,30.0,4.0,10.0,High,No,Yes,"Pool, Garden, Playground, Gym",West,Owner,Ready_to_Move
28.0,Maharashtra,Pune,Locality_143,Property_Type,5.0,2346.0,404.23,0.17,2016.0,Semi-furnished,9.0,10.0,9.0,8.0,7.0,High,No,Yes,"Garden, Playground, Pool, Clubhouse",South,Owner,Ready_to_Move
29.0,Gujarat,Ahmedabad,Locality_74,Property_Type,5.0,2088.0,233.29,0.11,1999.0,Unfurnished,14.0,9.0,26.0,1.0,2.0,Medium,Yes,Yes,"Pool, Garden",East,Owner,Ready_to_Move
30.0,Telangana,Hyderabad,Locality_454,Property_Type,3.0,2750.0,59.35,0.02,2002.0,Furnished,21.0,29.0,23.0,6.0,8.0,Low,Yes,No,"Playground, Pool",West,Broker,Under_Construction
31.0,Haryana,Faridabad,Locality_262,Property_Type,4.0,2637.0,316.69,0.12,2011.0,Semi-furnished,15.0,1.0,14.0,4.0,7.0,Medium,No,Yes,"Playground, Garden, Pool, Clubhouse",East,Broker,Under_Construction
32.0,Punjab,Amritsar,Locality_466,Property_Type,5.0,1020.0,84.44,0.08,1991.0,Unfurnished,29.0,25.0,34.0,8.0,3.0,Low,No,No,"Pool, Clubhouse, Gym",South,Owner,Under_Construction
33.0,West Bengal,Kolkata,Locality_136,Property_Type,3.0,2896.0,288.27,0.1,2022.0,Furnished,6.0,6.0,3.0,10.0,10.0,Low,Yes,Yes,Playground,East,Builder,Under_Construction
34.0,Uttar Pradesh,Lucknow,Locality_223,Property_Type,3.0,2516.0,472.04,0.19,2023.0,Unfurnished,28.0,30.0,2.0,4.0,7.0,High,Yes,Yes,"Garden, Clubhouse",North,Builder,Ready_to_Move
35.0,Haryana,Faridabad,Locality_368,Property_Type,1.0,3524.0,308.14,0.09,2006.0,Semi-furnished,22.0,23.0,19.0,6.0,6.0,Medium,Yes,Yes,"Gym, Pool, Clubhouse, Garden",West,Builder,Ready_to_Move
36.0,Tamil Nadu,Chennai,Locality_143,Property_Type,1.0,4426.0,93.9,0.02,2007.0,Semi-furnished,17.0,28.0,18.0,1.0,8.0,Low,No,Yes,Garden,West,Broker,Ready_to_Move
37.0,Delhi,Dwarka,Locality_480,Property_Type,2.0,775.0,26.99,0.03,2008.0,Semi-furnished,11.0,14.0,17.0,8.0,1.0,High,No,Yes,Clubhouse,South,Broker,Ready_to_Move
38.0,Andhra Pradesh,Vishakhapatnam,Locality_485,Property_Type,2.0,584.0,109.23,0.19,2001.0,Furnished,3.0,22.0,24.0,3.0,2.0,Medium,Yes,No,"Pool, Garden, Gym",South,Builder,Ready_to_Move
39.0,Tamil Nadu,Chennai,Locality_398,Property_Type,1.0,3713.0,258.22,0.07,2015.0,Semi-furnished,21.0,4.0,10.0,8.0,3.0,Medium,No,No,"Pool, Gym, Clubhouse",East,Owner,Under_Construction
40.0,Madhya Pradesh,Bhopal,Locality_305,Property_Type,3.0,2007.0,178.23,0.09,1997.0,Furnished,21.0,11.0,28.0,6.0,5.0,Low,No,No,"Garden, Pool, Clubhouse, Playground",South,Builder,Ready_to_Move
41.0,Madhya Pradesh,Indore,Locality_114,Property_Type,3.0,3727.0,358.45,0.1,2013.0,Unfurnished,15.0,6.0,12.0,5.0,2.0,Low,Yes,No,"Playground, Clubhouse, Garden, Pool",South,Builder,Ready_to_Move
42.0,Uttarakhand,Haridwar,Locality_202,Property_Type,5.0,2238.0,58.14,0.03,2010.0,Unfurnished,22.0,2.0,15.0,5.0,5.0,Medium,Yes,No,"Pool, Garden",South,Broker,Under_Construction
43.0,Punjab,Ludhiana,Locality_96,Property_Type,4.0,1845.0,472.99,0.26,2022.0,Unfurnished,7.0,27.0,3.0,10.0,5.0,Medium,No,No,"Playground, Clubhouse",East,Broker,Ready_to_Move
44.0,Karnataka,Mysore,Locality_295,Property_Type,3.0,3796.0,461.46,0.12,2013.0,Furnished,2.0,3.0,12.0,6.0,5.0,Low,No,No,Pool,East,Broker,Under_Construction
45.0,Bihar,Patna,Locality_58,Property_Type,4.0,1515.0,161.03,0.11,2012.0,Furnished,20.0,30.0,13.0,3.0,7.0,Low,No,Yes,"Gym, Pool, Garden, Playground",East,Broker,Ready_to_Move
46.0,Chhattisgarh,Raipur,Locality_484,Property_Type,4.0,2409.0,180.64,0.07,1996.0,Unfurnished,11.0,20.0,29.0,5.0,7.0,Low,No,Yes,"Playground, Pool, Gym, Garden",North,Builder,Ready_to_Move
47.0,Tamil Nadu,Chennai,Locality_323,Property_Type,5.0,641.0,300.29,0.47,2017.0,Furnished,23.0,15.0,8.0,5.0,1.0,Low,No,Yes,"Clubhouse, Playground",North,Builder,Ready_to_Move
48.0,Andhra Pradesh,Vijayawada,Locality_432,Property_Type,2.0,3771.0,30.57,0.01,2023.0,Unfurnished,17.0,2.0,2.0,5.0,4.0,Low,Yes,Yes,Clubhouse,North,Broker,Under_Construction
49.0,Delhi,Dwarka,Locality_273,Property_Type,2.0,1771.0,335.78,0.19,2009.0,Semi-furnished,26.0,19.0,16.0,10.0,4.0,Medium,Yes,Yes,"Playground, Garden",West,Broker,Under_Construction
50.0,Chhattisgarh,Bilaspur,Locality_458,Property_Type,4.0,733.0,438.74,0.6,2000.0,Semi-furnished,3.0,6.0,25.0,1.0,1.0,High,No,No,"Garden, Playground, Pool",West,Owner,Under_Construction
51.0,Kerala,Trivandrum,Locality_150,Property_Type,3.0,4766.0,55.83,0.01,2012.0,Semi-furnished,10.0,13.0,13.0,10.0,9.0,Medium,Yes,Yes,"Playground, Clubhouse, Pool, Garden",South,Builder,Ready_to_Move
52.0,Uttarakhand,Haridwar,Locality_238,Property_Type,4.0,556.0,308.46,0.55,2000.0,Semi-furnished,14.0,6.0,25.0,8.0,7.0,Medium,No,Yes,"Gym, Playground",North,Builder,Under_Construction
53.0,Madhya Pradesh,Indore,Locality_494,Property_Type,2.0,3881.0,204.19,0.05,2004.0,Furnished,14.0,16.0,21.0,9.0,3.0,Medium,Yes,Yes,"Clubhouse, Gym, Pool, Playground, Garden",South,Owner,Under_Construction
54.0,Jharkhand,Ranchi,Locality_464,Property_Type,2.0,855.0,335.3,0.39,2011.0,Unfurnished,14.0,24.0,14.0,3.0,3.0,Low,Yes,No,"Gym, Clubhouse, Garden, Playground",East,Broker,Ready_to_Move
55.0,Uttar Pradesh,Noida,Locality_431,Property_Type,3.0,1443.0,173.87,0.12,2009.0,Furnished,23.0,23.0,16.0,10.0,3.0,High,No,Yes,"Pool, Garden, Playground, Clubhouse, Gym",West,Builder,Ready_to_Move
56.0,Delhi,New Delhi,Locality_484,Property_Type,2.0,3300.0,274.47,0.08,2010.0,Semi-furnished,0.0,28.0,15.0,9.0,10.0,Medium,Yes,Yes,"Clubhouse, Gym, Playground",South,Builder,Ready_to_Move
57.0,Karnataka,Bangalore,Locality_125,Property_Type,5.0,3276.0,139.64,0.04,1997.0,Semi-furnished,9.0,14.0,28.0,4.0,7.0,Medium,No,Yes,"Gym, Pool",West,Broker,Under_Construction
58.0,Rajasthan,Jodhpur,Locality_218,Property_Type,3.0,581.0,457.94,0.79,1995.0,Furnished,11.0,17.0,30.0,6.0,2.0,Low,No,Yes,Clubhouse,East,Broker,Under_Construction
59.0,Kerala,Kochi,Locality_112,Property_Type,3.0,1992.0,11.59,0.01,1991.0,Furnished,16.0,11.0,34.0,4.0,2.0,High,No,Yes,"Pool, Clubhouse",North,Owner,Under_Construction
60.0,Delhi,Dwarka,Locality_27,Property_Type,2.0,1495.0,129.43,0.09,1993.0,Furnished,27.0,3.0,32.0,8.0,6.0,High,No,No,"Clubhouse, Playground, Gym, Pool, Garden",South,Owner,Under_Construction
61.0,Rajasthan,Jaipur,Locality_40,Property_Type,3.0,4253.0,92.82,0.02,1990.0,Unfurnished,15.0,5.0,35.0,2.0,4.0,Medium,Yes,No,"Gym, Clubhouse, Playground, Pool, Garden",West,Builder,Under_Construction
62.0,Tamil Nadu,Chennai,Locality_457,Property_Type,1.0,1106.0,421.32,0.38,2004.0,Unfurnished,3.0,8.0,21.0,6.0,3.0,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym, Pool",West,Builder,Under_Construction
63.0,Andhra Pradesh,Vijayawada,Locality_64,Property_Type,1.0,2471.0,437.65,0.18,2022.0,Furnished,4.0,7.0,3.0,1.0,4.0,Low,No,Yes,"Gym, Playground, Garden, Clubhouse",West,Owner,Under_Construction
64.0,Punjab,Amritsar,Locality_372,Property_Type,1.0,1949.0,109.09,0.06,1999.0,Unfurnished,1.0,3.0,26.0,1.0,8.0,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym, Pool",West,Owner,Under_Construction
65.0,Bihar,Patna,Locality_76,Property_Type,4.0,1574.0,100.44,0.06,2003.0,Semi-furnished,10.0,26.0,22.0,1.0,5.0,High,Yes,No,"Pool, Garden, Playground, Clubhouse, Gym",West,Owner,Ready_to_Move
66.0,Madhya Pradesh,Bhopal,Locality_412,Property_Type,1.0,890.0,439.52,0.49,2020.0,Semi-furnished,12.0,29.0,5.0,5.0,3.0,Low,No,No,"Clubhouse, Playground",South,Owner,Ready_to_Move
67.0,Gujarat,Surat,Locality_169,Property_Type,1.0,2318.0,234.83,0.1,1997.0,Furnished,26.0,16.0,28.0,9.0,6.0,High,Yes,Yes,Gym,East,Owner,Under_Construction
68.0,Madhya Pradesh,Indore,Locality_479,Property_Type,2.0,502.0,486.68,0.97,2008.0,Semi-furnished,14.0,7.0,17.0,5.0,10.0,Medium,No,No,"Playground, Clubhouse",West,Owner,Under_Construction
69.0,Madhya Pradesh,Bhopal,Locality_121,Property_Type,1.0,3000.0,87.74,0.03,2017.0,Semi-furnished,13.0,25.0,8.0,4.0,4.0,Medium,Yes,Yes,Garden,East,Builder,Under_Construction
70.0,Uttar Pradesh,Lucknow,Locality_128,Property_Type,1.0,1704.0,148.92,0.09,2014.0,Unfurnished,11.0,21.0,11.0,2.0,4.0,Medium,Yes,No,"Pool, Garden, Gym, Playground, Clubhouse",West,Builder,Ready_to_Move
71.0,Punjab,Amritsar,Locality_145,Property_Type,4.0,1346.0,53.12,0.04,2017.0,Furnished,23.0,2.0,8.0,3.0,6.0,High,No,No,"Playground, Gym",South,Owner,Under_Construction
72.0,Delhi,New Delhi,Locality_205,Property_Type,2.0,1518.0,408.45,0.27,2005.0,Semi-furnished,1.0,1.0,20.0,9.0,2.0,Low,No,No,"Pool, Garden, Clubhouse, Playground",West,Owner,Ready_to_Move
73.0,Uttarakhand,Dehradun,Locality_353,Property_Type,4.0,1399.0,234.14,0.17,2002.0,Unfurnished,11.0,2.0,23.0,9.0,10.0,Medium,Yes,Yes,"Gym, Pool, Playground, Garden",South,Broker,Under_Construction
74.0,Gujarat,Ahmedabad,Locality_387,Property_Type,4.0,978.0,418.76,0.43,2001.0,Semi-furnished,27.0,30.0,24.0,8.0,2.0,High,Yes,No,"Clubhouse, Garden, Gym, Pool, Playground",East,Owner,Under_Construction
75.0,Chhattisgarh,Raipur,Locality_278,Property_Type,3.0,1041.0,357.84,0.34,1995.0,Semi-furnished,22.0,30.0,30.0,1.0,7.0,Low,Yes,No,Clubhouse,East,Owner,Under_Construction
76.0,Rajasthan,Jodhpur,Locality_258,Property_Type,1.0,3028.0,131.06,0.04,2002.0,Semi-furnished,19.0,16.0,23.0,4.0,8.0,High,Yes,Yes,Pool,South,Owner,Under_Construction
77.0,Gujarat,Surat,Locality_418,Property_Type,3.0,3757.0,470.63,0.13,2018.0,Semi-furnished,11.0,23.0,7.0,6.0,2.0,High,Yes,Yes,Gym,South,Builder,Under_Construction
78.0,Bihar,Patna,Locality_436,Property_Type,5.0,4890.0,392.39,0.08,2015.0,Furnished,28.0,11.0,10.0,3.0,6.0,Low,Yes,No,Gym,East,Broker,Under_Construction
79.0,Andhra Pradesh,Vishakhapatnam,Locality_92,Property_Type,3.0,2410.0,272.3,0.11,2020.0,Semi-furnished,10.0,11.0,5.0,3.0,8.0,Medium,No,Yes,Playground,North,Builder,Under_Construction
80.0,Punjab,Amritsar,Locality_39,Property_Type,1.0,1889.0,257.47,0.14,2020.0,Semi-furnished,11.0,3.0,5.0,5.0,10.0,Low,No,No,"Playground, Gym, Garden, Clubhouse, Pool",North,Owner,Ready_to_Move
81.0,Chhattisgarh,Bilaspur,Locality_473,Property_Type,4.0,1629.0,222.48,0.14,2019.0,Unfurnished,14.0,26.0,6.0,2.0,8.0,Low,Yes,No,"Gym, Clubhouse, Pool, Playground",East,Broker,Ready_to_Move
82.0,Rajasthan,Jaipur,Locality_63,Property_Type,3.0,4649.0,176.55,0.04,1996.0,Furnished,21.0,22.0,29.0,8.0,4.0,High,No,No,"Garden, Gym, Clubhouse",East,Owner,Ready_to_Move
83.0,Haryana,Gurgaon,Locality_12,Property_Type,2.0,1876.0,263.29,0.14,2020.0,Unfurnished,11.0,12.0,5.0,9.0,6.0,High,No,Yes,"Clubhouse, Garden",South,Owner,Under_Construction
84.0,Karnataka,Bangalore,Locality_498,Property_Type,4.0,3936.0,401.88,0.1,1999.0,Furnished,2.0,6.0,26.0,3.0,6.0,High,No,Yes,"Gym, Pool, Clubhouse, Playground, Garden",West,Builder,Ready_to_Move
85.0,Rajasthan,Jodhpur,Locality_356,Property_Type,2.0,3065.0,111.1,0.04,1992.0,Semi-furnished,8.0,16.0,33.0,10.0,3.0,Medium,No,Yes,"Playground, Garden, Pool, Gym",South,Broker,Ready_to_Move
86.0,Karnataka,Mangalore,Locality_314,Property_Type,2.0,1288.0,395.3,0.31,2022.0,Semi-furnished,22.0,20.0,3.0,1.0,10.0,Medium,No,Yes,"Clubhouse, Pool, Playground",West,Broker,Under_Construction
87.0,Haryana,Gurgaon,Locality_1,Property_Type,2.0,3729.0,178.74,0.05,2011.0,Semi-furnished,23.0,27.0,14.0,1.0,3.0,Low,Yes,No,"Garden, Pool, Playground, Clubhouse",South,Builder,Ready_to_Move
88.0,Andhra Pradesh,Vishakhapatnam,Locality_394,Property_Type,1.0,4888.0,59.7,0.01,1993.0,Furnished,0.0,4.0,32.0,7.0,4.0,High,No,Yes,"Pool, Playground, Clubhouse, Garden",West,Broker,Ready_to_Move
89.0,Punjab,Ludhiana,Locality_187,Property_Type,1.0,2888.0,157.15,0.05,2014.0,Semi-furnished,17.0,9.0,11.0,8.0,8.0,Medium,Yes,No,"Playground, Pool, Garden, Gym",West,Builder,Under_Construction
90.0,Delhi,New Delhi,Locality_420,Property_Type,3.0,3596.0,129.74,0.04,1996.0,Furnished,15.0,24.0,29.0,9.0,3.0,Low,No,Yes,Clubhouse,West,Builder,Ready_to_Move
91.0,Uttar Pradesh,Noida,Locality_305,Property_Type,3.0,4607.0,223.89,0.05,2000.0,Unfurnished,24.0,25.0,25.0,2.0,10.0,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym",West,Builder,Under_Construction
92.0,Jharkhand,Ranchi,Locality_181,Property_Type,3.0,2163.0,57.29,0.03,2010.0,Semi-furnished,28.0,30.0,15.0,9.0,8.0,Low,Yes,No,Pool,East,Owner,Ready_to_Move
93.0,Haryana,Faridabad,Locality_75,Property_Type,1.0,1763.0,201.3,0.11,1995.0,Furnished,7.0,8.0,30.0,2.0,1.0,Medium,Yes,Yes,"Playground, Pool",North,Broker,Ready_to_Move
94.0,Uttar Pradesh,Lucknow,Locality_179,Property_Type,3.0,4283.0,40.33,0.01,2016.0,Semi-furnished,15.0,22.0,9.0,3.0,7.0,High,Yes,No,"Playground, Pool",East,Builder,Ready_to_Move
95.0,Odisha,Cuttack,Locality_180,Property_Type,1.0,2614.0,356.41,0.14,2020.0,Unfurnished,14.0,2.0,5.0,7.0,8.0,Low,Yes,No,Pool,North,Broker,Ready_to_Move
96.0,Andhra Pradesh,Vijayawada,Locality_326,Property_Type,5.0,4113.0,436.35,0.11,1991.0,Semi-furnished,13.0,4.0,34.0,2.0,1.0,Low,Yes,No,Playground,West,Broker,Under_Construction
97.0,Bihar,Gaya,Locality_384,Property_Type,3.0,2770.0,407.95,0.15,2016.0,Semi-furnished,29.0,5.0,9.0,5.0,2.0,High,No,No,"Pool, Gym, Clubhouse",North,Broker,Under_Construction
98.0,West Bengal,Durgapur,Locality_430,Property_Type,3.0,1177.0,81.49,0.07,1994.0,Unfurnished,12.0,15.0,31.0,10.0,6.0,Medium,No,Yes,Garden,North,Owner,Ready_to_Move
99.0,Punjab,Ludhiana,Locality_363,Property_Type,1.0,1277.0,12.52,0.01,2001.0,Semi-furnished,4.0,9.0,24.0,3.0,9.0,Medium,No,Yes,"Garden, Playground, Clubhouse, Pool, Gym",North,Builder,Ready_to_Move
100.0,West Bengal,Kolkata,Locality_83,Property_Type,4.0,509.0,375.0,0.74,2018.0,Semi-furnished,10.0,25.0,7.0,9.0,3.0,Medium,No,Yes,"Pool, Clubhouse, Gym",South,Owner,Ready_to_Move
101.0,Rajasthan,Jaipur,Locality_435,Property_Type,2.0,2731.0,454.02,0.17,2017.0,Unfurnished,29.0,25.0,8.0,9.0,9.0,Medium,No,No,"Gym, Clubhouse, Playground, Garden, Pool",East,Broker,Ready_to_Move
102.0,Chhattisgarh,Raipur,Locality_442,Property_Type,1.0,1880.0,375.52,0.2,2022.0,Unfurnished,28.0,21.0,3.0,10.0,4.0,High,No,No,"Garden, Pool, Clubhouse, Playground, Gym",West,Builder,Under_Construction
103.0,Chhattisgarh,Raipur,Locality_151,Property_Type,3.0,1434.0,160.5,0.11,1993.0,Furnished,11.0,12.0,32.0,2.0,2.0,Medium,Yes,Yes,"Clubhouse, Playground, Garden, Gym",South,Broker,Under_Construction
104.0,Punjab,Ludhiana,Locality_397,Property_Type,4.0,4925.0,338.2,0.07,2004.0,Furnished,4.0,18.0,21.0,8.0,6.0,Low,No,Yes,"Playground, Garden, Gym, Pool",East,Owner,Under_Construction
105.0,Jharkhand,Ranchi,Locality_211,Property_Type,5.0,4443.0,224.78,0.05,1997.0,Semi-furnished,15.0,8.0,28.0,10.0,5.0,Low,No,No,"Gym, Garden, Clubhouse, Pool, Playground",North,Broker,Under_Construction
106.0,Telangana,Warangal,Locality_278,Property_Type,1.0,517.0,262.28,0.51,2023.0,Unfurnished,5.0,27.0,2.0,7.0,1.0,Medium,No,No,"Garden, Clubhouse, Pool",South,Builder,Under_Construction
107.0,Jharkhand,Ranchi,Locality_53,Property_Type,1.0,696.0,49.97,0.07,2016.0,Unfurnished,19.0,16.0,9.0,4.0,8.0,Low,Yes,Yes,"Pool, Playground, Gym",North,Builder,Under_Construction
108.0,Andhra Pradesh,Vijayawada,Locality_172,Property_Type,1.0,2476.0,475.83,0.19,1995.0,Furnished,0.0,23.0,30.0,7.0,1.0,Medium,Yes,No,"Playground, Garden, Gym",North,Broker,Under_Construction
109.0,Madhya Pradesh,Bhopal,Locality_132,Property_Type,5.0,2283.0,414.09,0.18,2000.0,Furnished,25.0,2.0,25.0,6.0,4.0,Medium,No,Yes,"Playground, Clubhouse, Gym, Pool",West,Builder,Ready_to_Move
110.0,Rajasthan,Jaipur,Locality_422,Property_Type,4.0,2636.0,498.63,0.19,2001.0,Unfurnished,24.0,10.0,24.0,8.0,8.0,High,No,Yes,"Clubhouse, Pool",East,Builder,Ready_to_Move
111.0,West Bengal,Durgapur,Locality_84,Property_Type,5.0,3283.0,86.05,0.03,2005.0,Furnished,8.0,20.0,20.0,1.0,4.0,Low,Yes,No,Playground,North,Owner,Under_Construction
112.0,Assam,Silchar,Locality_480,Property_Type,1.0,3547.0,451.9,0.13,1992.0,Furnished,20.0,21.0,33.0,10.0,8.0,Low,No,No,Garden,South,Owner,Ready_to_Move
113.0,Odisha,Bhubaneswar,Locality_120,Property_Type,2.0,2884.0,45.66,0.02,2005.0,Furnished,15.0,3.0,20.0,9.0,2.0,Medium,No,Yes,Clubhouse,North,Broker,Ready_to_Move
114.0,Delhi,Dwarka,Locality_280,Property_Type,3.0,2004.0,197.01,0.1,2021.0,Unfurnished,21.0,23.0,4.0,6.0,5.0,Medium,No,Yes,"Playground, Clubhouse, Garden",South,Owner,Ready_to_Move
115.0,Karnataka,Mangalore,Locality_240,Property_Type,1.0,2002.0,292.93,0.15,1996.0,Semi-furnished,3.0,26.0,29.0,5.0,1.0,Low,Yes,Yes,"Pool, Clubhouse, Playground, Gym",East,Builder,Under_Construction
116.0,Tamil Nadu,Chennai,Locality_30,Property_Type,2.0,1033.0,210.45,0.2,2011.0,Unfurnished,17.0,3.0,14.0,4.0,8.0,Medium,No,Yes,Gym,North,Broker,Under_Construction
117.0,West Bengal,Durgapur,Locality_189,Property_Type,4.0,992.0,243.01,0.24,2007.0,Semi-furnished,25.0,7.0,18.0,9.0,6.0,Low,Yes,No,"Garden, Pool, Gym",South,Broker,Under_Construction
118.0,Gujarat,Surat,Locality_111,Property_Type,5.0,2947.0,410.0,0.14,2007.0,Furnished,28.0,24.0,18.0,5.0,3.0,Medium,Yes,No,"Garden, Gym, Pool",South,Broker,Under_Construction
